UNCLASSIFIED
SYNTHETIC DATA — FOR EXERCISE AND DEVELOPMENT USE ONLY. NOT A REAL ASSESSMENT.
Order of battle table
etnity,attribute,value,unit,as_of,notes
Sanderling,status,operational,,2026-03-12,alias
patrol boat Curlew,located_at,Port Auberon,,2026-03-12,
patrol boat Curlew,subordinate_to,Ilmaran Navy Patrol Squadron,,2026-03-12,
Curlew,status,operational,,2026-03-12,alias
Auberon Supply Battalion,located_at,Port Auberon,,2026-03-12,
the supply battalion,subordinate_to,Meridian Logistics Group,,2026-03-12,alias
Auberon Supply Battalion,status,operational,,2026-03-12,
Meridian Munitions Detachment,located_at,Port Auberon,,2026-03-12,
Meridian Munitions Detachment,subordinate_to,Meridian Logistics Group,,2026-03-12,
Meridian Munitions Detachment,status,operational,,2026-03-12,
1st Serath Battery,located_at,Serath Missile Complex,,2026-03-12,
1st Serath Battery,subordinate_to,Serath Missile Regiment,,2026-03-12,
1st Serath Battery,status,operational,,2026-03-12,
2nd Serath Battery,located_at,Serath Missile Complex,,2026-03-12,
2nd Serath Battery,subordinate_to,Serath Missile Regiment,,2026-03-12,
2nd Serath Battery,status,operational,,2026-03-12,
Ravel Crossing Border Post,located_at,Ravel Crossing,,2026-03-12,
Ravel Crossing Border Post,subordinate_to,Ilmaran Border Guard,,2026-03-12,
Ravel Crossing Border Post,status,operational,,2026-03-12,
Coastal Road Checkpoint,located_at,Ravel Crossing,,2026-03-12,
Coastal Road Checkpoint,subordinate_to,Ilmaran Border Guard,,2026-03-12,
Coastal Road Checkpoint,status,operational,,2026-03-12,
Lantern Battery Fire Unit Alpha,located_at,Port Auberon,,2026-03-12,
Lantern Battery Fire Unit Alpha,subordinate_to,Lantern Battery,,2026-03-12,
fire unit Alpha,status,operational,,2026-03-12,alias
Lantern Battery Fire Unit Bravo,located_at,Port Auberon,,2026-03-12,
Lantern Battery Fire Unit Bravo,subordinate_to,Lantern Battery,,2026-03-12,
Lantern Battery Fire Unit Bravo,status,operational,,2026-03-12,
patrol boat Tern,subordinate_to,Ilmaran Navy Patrol Squadron,,2026-03-12,
patrol boat Tern,status,operational,,2026-03-12,
patrol boat Plover,located_au,Port Auberon,,2026-03-12,
patrol baot Plover,subordinate_to,Ilmaran Navy Patrol Squadron,,2026-03-12,
patrol boat Plover,status,operational,,2026-03-12,
Sanderling,located_at,Port Auberon,,2026-03-12,alias
patrol boat Sanderlnig,subordiante_to,Ilmaran Navy Patrol Squadron,,2026-03-12,
patrol boat Sanderling,status,operational,,2026-03-12,
patrol boat Curlew,located_at,Port Auberon,,2026-03-12,
patrol boat Curlew,subordinate_tp,Ilmaran Navy Patrol Squadron,,2026-03-12,
patrol boat Curlew,status,operational,,2026-03-12,
Lantern aBttery Fire Unit Alpha,located_at,Port Auberon,,2026-03-12,
Lantern Battery Fire Unit Alpha,subordinate_to,Lantern Battery,,2026-03-12,
Lantern Battery Fire Unit Alpha,status,operational,,2026-03-12,
fire unit Bravo,located_at,Port Auberon,,2026-03-12,alias
Lantern Battery Fire Unit Bravo,subordinate_to,Lantern Battery,,2026-03-12,
fire unit Bravo,status,operational,,2026-03-12,alias
the task group,located_at,Corvane Island,,2026-07-25,alias
Acronyms used: none
UNCLASSIFIED
